X,Y,T,A
486516.42366257217,4418924.086045361,468.0,103.0
486081.3849758737,4419278.1241093725,469.0,104.0
486574.32862386043,4418661.012033156,469.0,104.0
486481.4616018623,4419211.120123855,470.0,105.0
487067.3294444646,4418653.171154675,470.0,105.0
486575.08738561027,4418629.623101715,462.0,97.0
486403.77748500434,4419359.665338377,462.0,97.0
486222.5683232572,4418684.3714997675,462.0,97.0
486374.9563626436,4419225.519536847,472.0,107.0
487196.6929770042,4418341.353814923,472.0,107.0
486805.1017747571,4418924.9483694285,472.0,107.0
486333.4690922071,4418351.674825982,476.0,111.0
486376.18732192676,4419377.966742155,476.0,111.0
486620.90676817525,4418759.832118922,476.0,111.0
486285.35778815055,4418368.797931064,476.0,111.0
486805.1017747571,4418924.9483694285,474.0,109.0
486598.31313464977,4419282.107105468,474.0,109.0
486600.9565863944,4419279.523107822,474.0,109.0
486364.4745749654,4418532.321992385,476.0,111.0
486884.407301746,4418270.730608529,476.0,111.0
486681.09356688906,4419127.262657928,480.0,115.0
486407.3851171008,4418502.034863748,481.0,116.0
486586.6633604021,4419332.017492142,481.0,116.0
486345.5441691627,4418951.901992358,482.0,117.0
486626.2029679823,4418647.634572423,483.0,118.0
486256.3908866,4418408.498252904,483.0,118.0
486567.79150536255,4418628.853416469,483.0,118.0
486575.08738561027,4418629.623101715,484.0,119.0
486087.68028476136,4419047.367794222,484.0,119.0
