X,Y,T,A
486155.208748076,4418838.72210791,147.0,147.0
486605.5523629043,4419117.780557327,152.0,152.0
486548.9007500427,4418805.8672188055,146.0,146.0
486111.6032329931,4418988.051459408,160.0,160.0
486372.3298232146,4419367.048685012,162.0,162.0
486199.5271534499,4419148.022872741,163.0,163.0
486630.56494992523,4418954.748508284,165.0,165.0
486629.1136203638,4418946.449817456,165.0,165.0
486203.41774091317,4418385.734242145,165.0,165.0
486280.30736746197,4418372.96828489,165.0,165.0
486067.79016753606,4419138.143902297,166.0,166.0
486364.4745749654,4418532.321992385,167.0,167.0
486268.38530057546,4418740.610785141,168.0,168.0
486372.3298232146,4419367.048685012,169.0,169.0
486836.7601649938,4418917.299973484,157.0,157.0
486372.3298232146,4419367.048685012,153.0,153.0
486340.1637006453,4419187.662290451,153.0,153.0
486340.1637006453,4419187.662290451,172.0,172.0
486364.4745749654,4418532.321992385,174.0,174.0
486745.74995364825,4418932.788994459,174.0,174.0
486333.4690922071,4418351.674825982,175.0,175.0
486058.7249723614,4418574.779791816,176.0,176.0
486053.93318928854,4418678.441025713,178.0,178.0
486504.50806324516,4419064.263326431,179.0,179.0
486169.6032703131,4418694.989273701,179.0,179.0
486504.50806324516,4419064.263326431,179.0,179.0
487083.17735624843,4418458.879453228,180.0,180.0
486258.751855369,4418289.757438621,180.0,180.0
486836.7601649938,4418917.299973484,180.0,180.0
486092.4361606127,4419331.456206057,182.0,182.0
486332.1021264845,4418808.322155426,182.0,182.0
486841.27818068996,4418867.065655255,182.0,182.0
486213.2624616951,4418437.038427708,182.0,182.0
486862.6420940388,4418912.84804417,183.0,183.0
486340.1637006453,4419187.662290451,186.0,186.0
486292.96564444306,4418672.694529666,186.0,186.0
486090.0363184774,4419086.525654484,186.0,186.0
486090.0363184774,4419086.525654484,186.0,186.0
486058.41559969133,4419142.104233997,187.0,187.0
486356.65640438185,4419371.676183079,187.0,187.0
486611.573590143,4418761.381593277,187.0,187.0
486357.77185862407,4418803.79142076,187.0,187.0
486820.2738395808,4418820.026175818,159.0,159.0
486340.1637006453,4419187.662290451,155.0,155.0
486836.7601649938,4418917.299973484,194.0,194.0
486836.7601649938,4418917.299973484,194.0,194.0
486711.8009149723,4418930.900852069,189.0,189.0
486711.8009149723,4418930.900852069,190.0,190.0
486711.8009149723,4418930.900852069,190.0,190.0
486783.3162678862,4418786.425752333,190.0,190.0
486783.3162678862,4418786.425752333,190.0,190.0
486362.1066816525,4419366.698416942,192.0,192.0
486484.56568384357,4419240.056369378,193.0,193.0
486828.96035361115,4418871.599163566,198.0,198.0
486079.8582155677,4419257.887651031,199.0,199.0
486340.1637006453,4419187.662290451,199.0,199.0
486847.8061529884,4418911.145602368,202.0,202.0
486442.04676609003,4419221.162385945,199.0,199.0
486528.4525566728,4418985.883886709,200.0,200.0
486316.3236051328,4418354.62316532,200.0,200.0
486340.1637006453,4419187.662290451,201.0,201.0
486850.2381094556,4418915.965770643,201.0,201.0
486467.739036034,4418838.651021918,201.0,201.0
486828.96035361115,4418871.599163566,197.0,197.0
486688.08034200035,4418801.477986575,211.0,211.0
486063.78220255976,4419232.678614563,212.0,212.0
486686.9620449632,4419403.7532647615,213.0,213.0
486461.650078963,4419266.815574422,213.0,213.0
486836.7601649938,4418917.299973484,202.0,202.0
486836.7601649938,4418917.299973484,202.0,202.0
487132.66248258174,4418491.873389643,202.0,202.0
486331.71914297476,4419136.9396136245,202.0,202.0
487153.0176515695,4418812.284096856,214.0,214.0
486320.35174569866,4419377.837772204,215.0,215.0
486364.1165442491,4418504.678182321,215.0,215.0
486489.33827267506,4419268.574903697,215.0,215.0
486072.8781038659,4419229.631276065,215.0,215.0
486413.48811012297,4418819.860708465,217.0,217.0
486089.0169606664,4419335.195190398,217.0,217.0
486357.77185862407,4418803.79142076,217.0,217.0
486348.73543266486,4418946.80819097,218.0,218.0
486348.73543266486,4418946.80819097,218.0,218.0
486348.73543266486,4418946.80819097,218.0,218.0
486395.6383864507,4418940.235317891,218.0,218.0
486835.18342717184,4418962.933677411,218.0,218.0
486765.0703170166,4418882.459365333,218.0,218.0
486090.04752870096,4419317.439188767,220.0,220.0
486879.31163594313,4419091.6669829255,220.0,220.0
486063.78220255976,4419232.678614563,221.0,221.0
486361.60108679207,4419370.834546486,222.0,222.0
486297.5601208727,4418635.084971827,223.0,223.0
486465.46782938053,4419210.493212731,209.0,209.0
486059.91144812224,4419091.660599108,209.0,209.0
486067.79016753606,4419138.143902297,227.0,227.0
486067.79016753606,4419138.143902297,227.0,227.0
486058.41559969133,4419142.104233997,228.0,228.0
486484.56568384357,4419240.056369378,203.0,203.0
486484.56568384357,4419240.056369378,203.0,203.0
486309.56376841234,4418674.473981723,229.0,229.0
486862.6420940388,4418912.84804417,225.0,225.0
486359.3264697568,4419350.56590816,230.0,230.0
486311.72823751176,4419008.073027148,231.0,231.0
486214.52917957347,4418960.843349784,231.0,231.0
486219.2776937289,4418984.991301735,233.0,233.0
486333.87644182186,4419150.968713986,234.0,234.0
486315.3723507556,4419018.743010761,234.0,234.0
486498.884488196,4419324.37526321,236.0,236.0
486813.7696016585,4418717.912342543,236.0,236.0
486376.2260839046,4419401.42355756,237.0,237.0
486205.5471755847,4418653.455140276,237.0,237.0
486240.7128706086,4419158.43740716,242.0,242.0
486124.80659456574,4419082.618135385,242.0,242.0
487117.10902964027,4418392.130155779,242.0,242.0
486489.33827267506,4419268.574903697,243.0,243.0
486240.7128706086,4419158.43740716,243.0,243.0
486858.3580945362,4418861.810940162,244.0,244.0
487004.333077628,4418849.698174075,244.0,244.0
487001.1718768205,4418828.031117628,244.0,244.0
486855.1671046414,4418866.975375557,244.0,244.0
486076.4766899923,4419188.030963031,245.0,245.0
486489.33827267506,4419268.574903697,247.0,247.0
486546.7092431811,4418501.4659654545,249.0,249.0
486063.78220255976,4419232.678614563,250.0,250.0
486490.94495973364,4419254.47204369,250.0,250.0
486714.2666363206,4419221.977269439,238.0,238.0
486998.13524044026,4418399.689977205,238.0,238.0
487196.6929770042,4418341.353814923,238.0,238.0
486432.9865210245,4418910.7288567005,238.0,238.0
486625.7390854011,4418759.029867849,238.0,238.0
486496.9284445958,4419291.326789898,240.0,240.0
486523.921395967,4418361.169426331,256.0,256.0
486502.824382611,4419324.230445347,256.0,256.0
487012.1188945153,4418874.671248346,252.0,252.0
486320.5812580801,4418548.814165286,252.0,252.0
486324.8162029916,4419190.109210151,252.0,252.0
487008.45365933934,4418579.598266529,253.0,253.0
486565.44272732263,4418995.047702096,253.0,253.0
486390.5089219585,4419317.397912774,253.0,253.0
