u,v,key,osmid,oneway,name,highway,reversed,length,lanes,maxspeed,service,ref,bridge,access,tunnel,width,junction,betweenness,closeness,degree,closeness_800,betweenness_800,geometry_wkt
110165086,110297457,0,385910216,True,Cedar Street,residential,False,62.441,,,,,,,,,,0.0011348719392522725,0.00010988780620793814,4.0,0.001438832528424801,0.08852822016000994,"LINESTRING (489493.028766 4425443.999733, 489539.471013 4425475.690049, 489544.65023 4425479.223519)"
110165086,110165076,0,661620228,True,East Letterly Street,residential,False,125.12899999999999,1,25 mph,,,,,,,,0.0008362970653428832,0.00010997527492982365,4.0,0.0015278561823181486,0.07733836842992717,"LINESTRING (489493.028766 4425443.999733, 489426.061276 4425542.873613, 489422.899981 4425547.539587)"
110165094,110165086,0,661620228,True,East Letterly Street,residential,False,131.14,1,25 mph,,,,,,,,0.0006473094619785411,0.0001096211274598593,4.0,0.001450540552204057,0.06586163565301645,"LINESTRING (489566.653635 4425335.572195, 489493.028766 4425443.999733)"
110165094,110256754,0,12161548,True,Gaul Street,residential,False,58.971000000000004,,,,,,,,,,0.0004938600625316751,0.00010944751389347789,4.0,0.0014250760598735726,0.07612123719378006,"LINESTRING (489566.653635 4425335.572195, 489543.055839 4425319.25573, 489518.107539 4425302.008881)"
110165097,110165094,0,661620228,True,East Letterly Street,residential,False,84.07,1,25 mph,,,,,,,,0.0004244961559510764,0.00010928567411055123,4.0,0.0014292038469081352,0.07592675650856498,"LINESTRING (489614.290644 4425266.360275, 489566.653635 4425335.572195)"
110165097,110203759,0,661620226,True,Almond Street,residential,False,61.959,,,,,,,,,,0.0008074231253063028,0.00010932919059008921,4.5,0.0014610395948155236,0.1289647594611796,"LINESTRING (489614.290644 4425266.360275, 489660.101296 4425297.830202, 489665.400271 4425301.47458)"
110165103,110165097,0,12152565,True,East Letterly Street,residential,False,134.812,1,25 mph,,,,,,,,0.00020024655854899282,0.00010862068056562339,4.5,0.0013048071328955987,0.0466402658204911,"LINESTRING (489718.433547 4425180.645638, 489614.290644 4425266.360275)"
110165103,110223993,0,1299059632,False,Moyer Street,residential,True,29.504,1,25 mph,,,,,,,,0.0006245441636299993,0.00010834027513326365,4.5,0.00116184119762071,0.05990126342376078,"LINESTRING (489718.433547 4425180.645638, 489728.376065 4425208.379725)"
110165103,110223982,0,1299059632,False,Moyer Street,residential,False,37.667,1,25 mph,,,,,,,,4.6754726859732735e-05,0.0001082729080336439,4.0,0.0011845881283947405,0.005888880355542166,"LINESTRING (489718.433547 4425180.645638, 489715.219883 4425172.070449, 489705.440874 4425145.346169)"
110165122,6059989199,0,644299879,False,Cloud Street,residential,True,35.342,,,,,,,,,,0.00012325845867937828,9.947656462993082e-05,3.0,0.0012460397405260595,0.05050237969328398,"LINESTRING (492633.234519 4428773.395134, 492637.621903 4428782.702991, 492648.269645 4428805.334759)"
